cell_type,temp,mean.time,sd.time,expected_stage,deviation,deviation_frac,rel,rel_temp,rel_dev,total_cells
anterior migratory muscle,28C,26.7287600454487,3.37107399167383,23.28,-1.2924082769434,1.14814261363611,1,,0,23975
anterior migratory muscle,32C,35.3888291762865,1.89699894085221,28.56,2.0876608538944,1.23910466303524,1.32399816213369,,3.3800691308378,23975
anterior migratory muscle,34C,39.259447609415,2.4209231635186,31.2,3.31827928702293,1.25831562850689,1.468809160719,1.10937401782487,4.61068756396633,23975
basal cell,28C,38.8353343974519,7.58505264081516,23.28,10.8141660750598,1.6681844672445,1,,0,30034
basal cell,32C,36.8751945602481,2.50514405903694,28.56,3.57402623785604,1.29114826891625,0.949526896893865,,-7.2401398372038,30034
basal cell,34C,36.6880234746261,1.28948747990743,31.2,0.746855152233986,1.1758981882893,0.944707288963971,0.994924200730216,-10.0673109228259,30034
cardiomyocyte,28C,29.7224877914974,4.75126767080436,23.28,1.70131946910536,1.27673916630144,1,,0,3752
cardiomyocyte,32C,38.7099437164143,5.38147866813501,28.56,5.40877539402226,1.35539018614896,1.30237899290139,,3.7074559249169,3752
cardiomyocyte,34C,38.3843324443094,5.28774341731572,31.2,2.44316412191734,1.23026706552274,1.29142394518166,0.991588433336656,0.741844652811974,3752
connective tissue-meninges-dermal FB,28C,24.0304378504312,2.18383617311357,23.28,-3.99073047196083,1.03223530285357,1,,0,52448
connective tissue-meninges-dermal FB,32C,27.7313393118295,1.82827666122153,28.56,-5.56982901056256,0.970985270022041,1.1540089067221,,-1.57909853860173,52448
connective tissue-meninges-dermal FB,34C,31.2827972110291,2.49570428632154,31.2,-4.65837111136292,1.00265375676375,1.30179888546924,1.12806658413662,-0.667640639402087,52448
contains head vasculature?,28C,23.0602763168658,0.89161966372872,23.28,-4.96089200552631,0.990561697459869,1,,0,3536
contains head vasculature?,32C,24.3072397106592,1.19152833959599,28.56,-8.99392861173282,0.851093827404035,1.05407408725981,,-4.03303660620651,3536
contains head vasculature?,34C,24.915082955506,1.39257225535812,31.2,-11.026085366886,0.798560351138014,1.08043297544027,1.02500667505164,-6.06519336135972,3536
cranial muscle (early),28C,34.9558996694363,5.9602791107537,23.28,6.9347313470442,1.50154208202046,1,,0,7099
cranial muscle (early),32C,39.6951619196732,4.09649604444092,28.56,6.39399359728115,1.3898866218373,1.13557832283117,,-0.540737749763057,7099
cranial muscle (early),34C,40.0354422964913,3.3212235155974,31.2,4.09427397409925,1.28318725309267,1.1453128849519,1.00857233880307,-2.84045737294495,7099
cranial muscle (mid),28C,49.6599918599919,8.11662762214951,23.28,21.6388235375998,2.13316116237078,1,,0,2638
cranial muscle (mid),32C,46.5852813852814,4.14003705579255,28.56,13.2841130628893,1.63113730340621,0.938084756772029,,-8.35471047471046,2638
cranial muscle (mid),34C,47.2507936507937,5.75777367321413,31.2,11.3096253284016,1.51444851444851,0.951486133626632,1.01428589128846,-10.3291982091982,2638
"cranial muscle (non-somitic, fast-twitch)",28C,36.857981629323,4.77931270841484,23.28,8.83681330693089,1.58324663356198,1,,0,4271
