genotype,cell_group,timepoint.bin.n,cells_per_embryo,cells_per_embryo_cv,cells_per_embryo_cv.stderr,num_embryos,total_cells,model_fit,model_sd,model_fit_lower,model_fit_upper,expected_cv,cv_test_stat,cv_z_stat_p_val,cv_rel
32C,anterior migratory muscle,1,24.8969411764706,0.293540376935708,0.0269088022354059,4046,21587,0.345614922099385,0.095403602935688,0.154807716228009,0.536422127970762,0.345614922099385,-0.525337772526069,0.70032579819722,0.849327844853
32C,anterior migratory muscle,2,28.140875,0.253631894887528,0.0232503976841814,2856,21587,0.371302929666073,0.129355498159622,0.112591933346829,0.630013925985316,0.371302929666073,-0.895324217831142,0.81469310102568,0.683086166639268
32C,anterior migratory muscle,3,25.9855483870968,0.299496175561066,0.0274547694002527,3689,21587,0.406127971501998,0.179247993418155,0.0476319846656887,0.764623958338308,0.406127971501998,-0.588026631972699,0.721742791429157,0.737442866723581
32C,anterior migratory muscle,4,21.2192666666667,0.337146209323769,0.0309061423365858,3570,21587,0.450256808504502,0.252480304650074,-0.0547038007956454,0.95521741780465,0.450256808504502,-0.444678517336863,0.671723951838199,0.748786476863231
32C,basal cell,1,6.99641176470588,0.447602355033454,0.0410316406125455,4046,30005,0.440916329086756,0.128148758865717,0.184618811355321,0.697213846818191,0.440916329086756,0.0496890162289505,0.480185104713939,1.01516393362103
32C,basal cell,2,22.9639166666667,0.302536048932005,0.0277334341352822,2856,30005,0.378419262173563,0.132365516058902,0.113688230055758,0.643150294291368,0.378419262173563,-0.561101658569866,0.712635881219585,0.799473174791103
32C,basal cell,3,24.3988387096774,0.249526022594345,0.0228740129881664,3689,30005,0.408543741543294,0.180540701890293,0.0474623377627085,0.769625145323881,0.408543741543294,-0.873800689892578,0.808886597658905,0.610769416395288
32C,basal cell,4,22.3229333333333,0.310322577683059,0.0284472240555981,3570,30005,0.447777526487798,0.250796776629915,-0.0538160267720335,0.949371079747628,0.447777526487798,-0.544580996373052,0.706979136123043,0.693028478041575
32C,connective tissue-meninges-dermal FB,1,38.1253823529412,0.252514548027591,0.0231479706654651,4046,44987,0.334387062411984,0.0916612795838449,0.151064503244294,0.517709621579673,0.334387062411984,-0.866018593276727,0.806760017244265,0.755156453141956
32C,connective tissue-meninges-dermal FB,2,31.64875,0.344122873861056,0.0315456921261459,2856,44987,0.367853391994995,0.127900810090487,0.112051771814022,0.623655012175969,0.367853391994995,-0.180140174254961,0.571478738014771,0.935489195830871
32C,connective tissue-meninges-dermal FB,3,30.3230322580645,0.307485362245556,0.0281871369428676,3689,44987,0.400864473434233,0.176437073508895,0.0479903264164428,0.753738620452023,0.400864473434233,-0.522621540382738,0.699381176184321,0.767055657517634
32C,connective tissue-meninges-dermal FB,4,26.0916333333333,0.331054722347251,0.0303477366409817,3570,44987,0.440963815454885,0.246180186418719,-0.0513965573825528,0.933324188292322,0.440963815454885,-0.443103775985071,0.671154662945407,0.75075258047136
32C,cranial muscle (early),1,3.93494117647059,0.513665162168457,0.0470876082135577,4046,7086,0.573857793533273,0.176354511968677,0.221148769595919,0.926566817470627,0.573857793533273,-0.329763698836141,0.629210740721029,0.895108802140323
32C,cranial muscle (early),2,9.0285,0.457082926557379,0.0419007231792406,2856,7086,0.443760300334923,0.16054311511613,0.122674070102662,0.764846530567183,0.443760300334923,0.0802950202328,0.468001309353118,1.03002212278206
32C,cranial muscle (early),3,11.268064516129,0.491910668979032,0.0450933770925221,3689,7086,0.457502148970854,0.207077900935555,0.0433463470997441,0.871657950841965,0.457502148970854,0.162357325199146,0.435512237229915,1.0752095265248
32C,cranial muscle (early),4,11.5168333333333,0.38520760957826,0.0353119236744221,3570,7086,0.494676545947324,0.28296790339364,-0.0712592608399558,1.0606123527346,0.494676545947324,-0.383882379456295,0.649467186599833,0.778706030706536
32C,cranial muscle (progenitor),1,8.24276470588235,0.379908434541409,0.0348261490952451,4046,3242,0.418903141350179,0.120438123409417,0.178026894531344,0.659779388169013,0.418903141350179,-0.311031391464019,0.622111621282596,0.906912355244975
32C,cranial muscle (progenitor),2,2.766875,0.683728622954232,0.0626773001037313,2856,3242,0.803750594466777,0.329736517849441,0.144277558767895,1.46322363016566,0.803750594466777,-0.357590738515623,0.63967519488867,0.850672618672003
32C,cranial muscle (progenitor),3,1.14977419354839,1.54545065310249,0.141671229093032,3689,3242,2.91187980066947,1.95003358942319,-0.988187378176906,6.81194697951584,2.91187980066947,-0.698878870586738,0.757686133376666,0.530739851537547
32C,cranial muscle (progenitor),4,0.816166666666667,1.55939771781893,0.142949754419383,3570,3242,7.34433925215251,7.43628345259202,-7.52822765303153,22.2169061573365,7.34433925215251,-0.77779081441694,0.781653828014254,0.212326482244389
32C,cranial neural crest,1,8.78841176470588,0.354704672717989,0.0325157240369464,4046,6619,0.411492093196156,0.117861250417492,0.175769592361172,0.647214594031141,0.411492093196156,-0.464464639484632,0.678842555959189,0.861996326497829
32C,cranial neural crest,2,9.26654166666667,0.330763282780931,0.0303210204197396,2856,6619,0.440778266107315,0.159236862804236,0.122304540498844,0.759251991715787,0.440778266107315,-0.67869451064258,0.751334277484134,0.75040742299304
32C,cranial neural crest,3,7.77451612903226,0.362949441638927,0.0332715207647633,3689,6619,0.502846998503064,0.232200727100891,0.0384455443012816,0.967248452704846,0.502846998503064,-0.596394147589768,0.724544025389556,0.721789018765945
32C,cranial neural crest,4,7.65903333333333,0.52042728361165,0.0477074908699274,3570,6619,0.548697464177529,0.320830735372023,-0.092964006566517,1.19035893492158,0.548697464177529,-0.0871572353288503,0.534726734393893,0.948477654059775
