oligo_tag,timepoint,fake,Size_Factor,batch,sample,temp,pseudostage,umap_1,umap_2
reference-48-GAP13-P9_B9,48,FALSE,0.515769003133288,GAP13,GAP13,28C,35.7458767012029,-3.17957346990428,12.0640234572692
reference-48-GAP13-P9_H1,48,FALSE,0.212592958280746,GAP13,GAP13,28C,35.7458865934024,-2.74286430433116,12.2862095458312
reference-48-GAP13-P9_B3,48,FALSE,0.417791378882161,GAP13,GAP13,28C,35.7780612849869,-3.39631693914256,12.3262571914001
reference-24-GAP13-P4_C3,24,FALSE,0.19410661408242,GAP13,GAP13,28C,12.7149577068049,-4.2799834544929,-5.35915092398691
reference-48-GAP13-P9_A12,48,FALSE,0.369726883966514,GAP13,GAP13,28C,35.7678734166332,-2.36967080190501,12.4790138823791
reference-24-GAP13-P4_C12,24,FALSE,0.175620269884094,GAP13,GAP13,28C,12.6478189595685,-4.60737317159495,-5.97702173163462
reference-48-GAP13-P9_H7,48,FALSE,0.678448832078554,GAP13,GAP13,28C,35.8510888628918,-2.65104382589183,12.5776543242736
reference-48-GAP13-P9_C1,48,FALSE,0.602654820865419,GAP13,GAP13,28C,36.0232273309237,-2.36661356046519,12.6522507293029
reference-24-GAP13-P4_G7,24,FALSE,0.18671207640309,GAP13,GAP13,28C,14.029084058222,-3.82728713109812,-4.87807659079599
reference-48-GAP13-P9_B8,48,FALSE,0.425185916561492,GAP13,GAP13,28C,35.8960158847803,-2.59984701230845,12.779385052423
reference-48-GAP13-P9_B7,48,FALSE,0.44552089517965,GAP13,GAP13,28C,35.9074544288374,-2.3666750724586,12.5425829512877
reference-48-GAP13-P9_F9,48,FALSE,0.454764067278813,GAP13,GAP13,28C,35.7458964856018,-3.30163519933543,12.0248198134704
reference-48-GAP13-P9_A4,48,FALSE,0.671054294399224,GAP13,GAP13,28C,37.5455193045248,-2.2327365215095,13.3727449996276
reference-48-GAP13-P9_A7,48,FALSE,0.63962750926207,GAP13,GAP13,28C,35.3070368138731,-3.15642254903636,12.7598251921935
reference-48-GAP13-P9_F3,48,FALSE,0.610049358544749,GAP13,GAP13,28C,35.7640019190379,-2.6805645759376,13.1804918868346
reference-48-GAP13-P9_C3,48,FALSE,0.484342217996134,GAP13,GAP13,28C,30.2047083418016,-6.17177956655345,8.84580942223501
reference-48-GAP13-P9_G4,48,FALSE,0.560136229209269,GAP13,GAP13,28C,37.499774898789,-2.16423314168772,13.0958141906066
reference-24-GAP13-P4_G9,24,FALSE,0.107220796350289,GAP13,GAP13,28C,12.7387622075301,-3.98912709310374,-5.44938424994516
reference-48-GAP13-P9_D9,48,FALSE,0.661811122300061,GAP13,GAP13,28C,35.8146392765871,-2.59429662778697,12.7568955046935
reference-48-GAP13-P9_A2,48,FALSE,0.573076670148097,GAP13,GAP13,28C,35.0112349445136,-3.18082564428172,13.3803886992736
reference-24-GAP13-P4_H2,24,FALSE,0.142344850327108,GAP13,GAP13,28C,6.11662672544164,-2.47396438672862,-10.2655139343934
reference-48-GAP13-P9_D8,48,FALSE,0.512071734293623,GAP13,GAP13,28C,31.8994937454552,-5.70857279851756,9.8085074050231
reference-48-GAP13-P9_H9,48,FALSE,0.513920368713455,GAP13,GAP13,28C,35.7886493467109,-3.13308852269969,12.37659212182
reference-48-GAP13-P9_F10,48,FALSE,0.547195788270441,GAP13,GAP13,28C,37.1806080223705,-1.71063750341258,12.8943972213073
reference-24-GAP13-P4_G5,24,FALSE,0.157133925685769,GAP13,GAP13,28C,12.9456037081084,-4.42963784292063,-5.17814592291879
reference-48-GAP13-P9_B12,48,FALSE,0.393759131424338,GAP13,GAP13,28C,30.2412970157266,-6.26470130040965,8.86557909081412
reference-48-GAP13-P9_E8,48,FALSE,0.397456400264003,GAP13,GAP13,28C,34.3346129270035,-3.75680249288401,12.4919428450866
reference-48-GAP13-P9_B2,48,FALSE,0.521314906392785,GAP13,GAP13,28C,35.9396915681675,-3.31711714818797,12.5357985122008
reference-24-GAP13-P4_F3,24,FALSE,0.157133925685769,GAP13,GAP13,28C,6.11632415047224,-2.68303673818431,-10.3225245850282
reference-48-GAP13-P9_F2,48,FALSE,0.656265219040563,GAP13,GAP13,28C,35.9147344493424,-2.56726878240428,13.3267674071593
